0,4045
1,3877
2,3987
3,3956
4,3840
5,3959
6,3924
7,3932
8,3974
9,3983
10,3876
11,3834
12,3836
13,3899
14,3915
15,3897
16,3891
17,4005
18,3853
19,3844
20,4006
21,3962
22,3960
23,4014
24,3936
25,3845
26,3925
27,3931
28,3804
29,3959
30,3928
31,3844
32,3803
33,3843
34,3909
35,3927
36,3868
37,3913
38,3920
39,3803
40,3909
41,3866
42,3892
43,3856
44,3941
45,3904
46,3840
47,3887
48,3920
49,3895
50,3828
51,3927
52,3976
53,4025
54,3931
55,3913
56,3816
57,3932
58,3914
59,3901
60,3967
61,3832
62,3879
63,4003
64,4011
65,3899
66,3855
67,3903
68,3883
69,3854
70,3851
71,3937
72,3950
73,3874
74,3928
75,3937
76,3818
77,3880
78,3883
79,3905
80,3852
81,3947
82,3983
83,3952
84,3930
85,3787
86,3838
87,3904
88,3856
89,3939
90,3861
91,3945
92,3924
93,3837
94,3800
95,3879
96,3940
97,3867
98,3837
99,3912
100,3886
101,3960
102,3863
103,3819
104,4009
105,4013
106,3939
107,3827
108,3840
109,3953
110,3972
111,3853
112,3901
113,3876
114,3981
115,3968
116,3910
117,3949
118,3970
119,3927
120,3779
121,3861
122,3871
123,3923
124,3965
125,3928
126,3925
127,3907
128,3822
129,3895
130,3966
131,3900
132,3944
133,3886
134,3884
135,3919
136,3917
137,3893
138,3990
139,3970
140,3878
141,3898
142,3941
143,3901
144,3918
145,3911
146,3882
147,3834
148,3864
149,3907
150,3859
151,3834
152,3934
153,3904
154,4030
155,3822
156,3922
157,3965
158,3767
159,4002
160,3940
161,3882
162,3990
163,3996
164,3944
165,3868
166,3873
167,3880
168,3949
169,3822
170,3938
171,4049
172,3858
173,3816
174,4003
175,3747
176,3807
177,3856
178,3909
179,3845
180,3815
181,3911
182,3984
183,3842
184,3860
185,3935
186,3953
187,3938
188,3975
189,3825
190,3938
191,3866
192,3884
193,3891
194,3861
195,3937
196,4061
197,3868
198,3753
199,3931
200,3924
201,3980
202,3859
203,3931
204,3851
205,3950
206,3851
207,3851
208,3823
209,3983
210,3995
211,3888
212,3925
213,3912
214,3900
215,3885
216,3884
217,3869
218,3768
219,4088
220,4053
221,3896
222,3935
223,3845
224,3864
225,3929
226,3884
227,3875
228,3851
229,3823
230,3842
231,3872
232,3934
233,3984
234,3896
235,3937
236,4030
237,4009
238,4006
239,3971
240,3869
241,3987
242,3973
243,3898
244,3813
245,3945
246,3876
247,3958
248,3776
249,3913
250,3997
251,3846
252,3841
253,3960
254,3942
255,3980
